make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Bmw,2 Series Coupe,Tier 1,Official Website,6,0,0,0,0%,Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car,847,0,2026-04-02T10:35:52Z
Bmw,2 Series Gran Coupe,Tier 1,Official Website,4,0,0,0,0%,,207,0,2026-04-02T10:39:19Z
Bmw,X1,Tier 1,Official Website,4,8,4,4,50.0%,"Mineral_White_Metallic, Jet_Black, Black_Sapphire_Metallic, Portimao_Blue_Metallic, Alpine_White",840,0,2026-04-03T05:58:42Z
Bmw,X1,Tier 1,Official Website,4,8,0,8,100.0%,"Black_Sapphire_Metallic, Portimao_Blue_Metallic, Alpine_White, Jet_Black, Mineral_White_Metallic",870,0,2026-04-03T10:05:20Z
Bmw,7 Series,Tier 1,Official Website,14,10,3,7,70.0%,"Frozen_Deep_Grey_Metallic, Black_Sapphire_Metallic, Wildberry_Metallic, Aventurin_Red_Metallic, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Frozen_Pure_Grey_Metallic, Frozen_Tanzanite_Blue_Metallic, Boston_Green_Metallic, Petrol_Mica_Metallic, Oxide_Grey_Metallic, Macadamia_Metallic, Tanzanite_Blue_Ii_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic",1778,0,2026-04-03T10:34:58Z
Bmw,X5 M,Tier 1,Official Website,3,7,5,2,28.6%,"Black_Sapphire_Metallic, Isle_Of_Man_Green_Metallic, Alpine_White_0Requires_Build_Changes, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Marina_Bay_Blue_Metallic, Toronto_Red_Metallic, Skyscraper_Grey_Metallic, Black_Sapphire_Metallic_0Requires_Build_Changes, Manhattan_Green_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Carbon_Black_Metallic_0Requires_Build_Changes",328,0,2026-04-03T10:40:26Z
Bmw,X6 M,Tier 1,Official Website,3,2,0,2,100.0%,"Black_Sapphire_Metallic, Isle_Of_Man_Green_Metallic, Tanzanite_Blue_Ii_Metallic, Alpine_White_0Requires_Build_Changes, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Marina_Bay_Blue_Metallic, Aventurin_Red_Metallic, Toronto_Red_Metallic, Skyscraper_Grey_Metallic, Manhattan_Green_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Carbon_Black_Metallic_0Requires_Build_Changes",338,0,2026-04-03T10:46:05Z
Bmw,M2,Tier 1,Official Website,4,8,6,2,25.0%,"Black_Sapphire_Metallic, Portimao_Blue_Metallic, Vegas_Red_Metallic, Zandvoort_Blue, Alpine_White_0Requires_Build_Changes, Alpine_White, Frozen_Pure_Grey_Metallic, Grigio_Telesto_Metallic, Java_Green_Ii_Metallic, Zandvoort_Blue_0Requires_Build_Changes, Sao_Paulo_Yellow, Twilight_Purple_Pearl_Metallic, Thundernight_Metallic, Frozen_Portimao_Blue_Ii_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Skyscraper_Grey_Metallic",502,0,2026-04-03T10:54:27Z
Bmw,5 Series,Tier 1,Official Website,3,6,3,3,50.0%,"Dark_Graphite_Metallic, Black_Sapphire_Metallic, Vegas_Red_Metallic, Phytonic_Blue_Metallic, Carbon_Black_Metallic, Alpine_White, Frozen_Pure_Grey_Metallic, Oxide_Grey_Metallic, Cape_York_Green_Metallic, Frozen_Deep_Grey, Tanzanite_Blue_Ii_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic",272,0,2026-04-03T10:59:00Z
Bmw,X3,Tier 1,Official Website,4,9,8,1,11.1%,"Dark_Graphite_Metallic, Black_Sapphire_Metallic, Vegas_Red_Metallic, Color_14, Alpine_White_0Requires_Build_Changes, Alpine_White, Frozen_Pure_Grey_Metallic, Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car, Tanzanite_Blue_Ii_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Dune_Grey_Metallic, Arctic_Race_Blue_Metallic",2590,0,2026-04-03T11:42:11Z
Bmw,M5,Tier 1,Official Website,1,4,3,1,25.0%,"Ruby_Black_Metallic, Dark_Graphite_Metallic, Black_Sapphire_Metallic, Isle_Of_Man_Green_Metallic, Vegas_Red_Metallic, Speed_Yellow, Carbon_Black_Metallic, Alpine_White, Marina_Bay_Blue_Metallic, Daytona_Violet_Metallic, Storm_Bay_Metallic, Frozen_Deep_Grey, Brooklyn_Grey_Metallic, British_Racing_Green",154,0,2026-04-03T11:44:45Z
Bmw,3 Series,Tier 1,Official Website,3,3,2,1,33.3%,"Black_Sapphire_Metallic, Portimao_Blue_Metallic, Alpine_White, Jet_Black, Mineral_White_Metallic",747,0,2026-04-03T11:57:13Z
Bmw,8 Series,Tier 1,Official Website,1,2,0,2,100.0%,,835,0,2026-04-03T12:11:08Z
Bmw,X2,Tier 1,Official Website,4,4,1,3,75.0%,"Black_Sapphire_Metallic, Portimao_Blue_Metallic, Vegas_Red_Metallic, Alpine_White_0Requires_Build_Changes, Alpine_White, Frozen_Pure_Grey_Metallic, Jet_Black, Cape_York_Green_Metallic, Storm_Bay_Metallic, Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car, Color_14, Brooklyn_Grey_Metallic, Skyscraper_Grey_Metallic",1409,0,2026-04-03T12:34:38Z
Bmw,X4,Tier 1,Official Website,2,0,0,0,0%,,93,0,2026-04-03T12:36:11Z
Bmw,X5,Tier 1,Official Website,5,4,1,3,75.0%,"Black_Sapphire_Metallic, Isle_Of_Man_Green_Metallic, Alpine_White_0Requires_Build_Changes, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Marina_Bay_Blue_Metallic, Black_Sapphire_Metallic_0Requires_Build_Changes, Toronto_Red_Metallic, Skyscraper_Grey_Metallic, Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car, Manhattan_Green_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Carbon_Black_Metallic_0Requires_Build_Changes",1833,0,2026-04-03T13:06:45Z
Bmw,X7,Tier 1,Official Website,3,5,3,2,40.0%,"Black_Sapphire_Metallic, Alpine_White_0Requires_Build_Changes, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Marina_Bay_Blue_Metallic, Carbon_Black_Metallic_0Requires_Build_Changes, Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car, Manhattan_Green_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Skyscraper_Grey_Metallic",936,0,2026-04-03T13:22:21Z
Bmw,Z4,Tier 1,Official Website,3,5,3,2,40.0%,"San_Remo_Green_Metallic, Black_Sapphire_Metallic, Portimao_Blue_Metallic, Alpine_White_0Requires_Build_Changes, Alpine_White, Color_10, Portimao_Blue_Metallic_650Requires_Build_Changes, San_Francisco_Red_Metallic, Color_14, Skyscraper_Grey_Metallic",534,0,2026-04-03T13:31:16Z
Bmw,8 Series Gran Coupe,Tier 1,Official Website,1,0,0,0,0%,,401,0,2026-04-03T13:37:57Z
Bmw,X6,Tier 1,Official Website,5,2,1,1,50.0%,"Black_Sapphire_Metallic, Isle_Of_Man_Green_Metallic, Tanzanite_Blue_Ii_Metallic, Aventurin_Red_Metallic, Carbon_Black_Metallic, Alpine_White, Dravit_Grey_Metallic, Alpine_White_0Requires_Build_Changes, Marina_Bay_Blue_Metallic, Carbon_Black_Metallic_650Requires_Build_Changes, Toronto_Red_Metallic, Carbon_Black_Metallic_0Requires_Build_Changes, Use_Tabulator_Key_And_Select_Button_To_Change_Color_Of_The_Car, Manhattan_Green_Metallic, Brooklyn_Grey_Metallic, Mineral_White_Metallic, Skyscraper_Grey_Metallic",789,0,2026-04-03T13:51:07Z
Bmw,M8,Tier 1,Official Website,103,41,21,20,48.8%,,2095,100,2026-04-03T14:26:02Z
